titulo,start_hour,end_hour,location,reference_date
Reunião do Conselho de Governo,09h00,12h00,Palácio do Planalto,2019-01-15
Assinatura Solene Decreto Posse de Armas,12h00,12h15,Palácio do Planalto,2019-01-15
"Bento Costa Lima, Ministro de Estado de Minas e Energia; Marcos Pontes, Ministro de Estado da Ciência, Tecnologia, Inovações e Comunicações; e Ricardo Salles, Ministro de Estado do Meio Ambiente",12h20,13h05,Palácio do Planalto,2019-01-15
"Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; Custódio Pereira, Presidente do Fórum Nacional das Instituições Filantrópicas (FONIF); Antonio Pasim, Presidente da Federação Brasileira de Associações Socioeducacionais de Adolescentes (FEBRAEDA); Dora Silvia Cunha Bueno, Presidente da Confederação Brasileira de Fundações (CEBRAF); Edson Rogatti, Presidente da Confederação das Santas Casas de Misericórdia, Hospitais e Entidades Filantrópicas (CMB); Paulo Fossatti, Presidente da Associação Nacional das Escolas Católicas (ANEC); Fernando Lottenberg, Presidente da Confederação Israelita do Brasil (CONIB); Caio Thomas, Primeiro Vice-Presidente do Fórum Nacional das Instituições Filantrópicas (FONIF); Carlos Hassel Mendes da Silva, Vice-Presidente da Associação Brasileira das Instituições Comunitárias de Educação Superior (ABRUC); Euler Bahia Pereira, Vice-Presidente da Associação Brasileira de Instituições Educacionais Evangélicas (ABIEE); Marinez Rossato, Delegada para o Brasil da Congregação das Irmãs de Santa Marcelina, e Thiago Cabral, Diretor Jurídico do Fórum Nacional das Instituições Filantrópicas (FONIF)",14h00,15h00,Palácio do Planalto,2019-01-15
Cerimônia da Troca da Guarda Presidencial do Palácio do Planalto,15h00,15h30,Palácio do Planalto,2019-01-15
"Gustavo Bebianno, Ministro-Chefe da Secretaria-Geral da Presidência da República e Sr. Carlos Vereza, ator",16h00,16h40,Palácio do Planalto,2019-01-15
"Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República; e Carlos Bolsonaro, Vereador do Município do Rio de Janeiro/RJ",08h00,08h30,Palácio do Planalto,2019-01-16
"Cerimônia Oficial de Chegada do Presidente da República Argentina, Senhor Mauricio Macri",10h30,10h45,Palácio do Planalto,2019-01-16
Reunião Ampliada,11h30,12h30,Palácio do Planalto,2019-01-16
Declaração à Imprensa,12h30,13h00,Palácio do Planalto,2019-01-16
Almoço em Homenagem ao Presidente da Argentina,13h00,14h30,Palácio do Itamaraty,2019-01-16
"Santos Cruz, Ministro-Chefe da Secretaria de Governo da 	Presidência da República; Romeu Zema, Governador do estado 	de Minas Gerais; Paulo Brant, Vice-Governador do estado de 	Minas Gerais; Gustavo Barbosa, Secretário de Estado de 	Fazenda de Minas Gerais; Marco Aurélio Barcela, Secretário de 	Estado de Transporte e Obras Públicas de Minas Gerais; Igor 	Eto, Secretário-Geral do estado de Minas Gerais; e Mauro 	Biancamano Guimarães, Secretário-Executivo da Secretaria de Governo da Presidência da República",15h00,15h15,Palácio do Planalto,2019-01-16
"Augusto Heleno, Ministro-Chefe do Gabinete de Segurança 	Institucional da Presidência da República, Carlos Bolsonaro, 	Vereador do Município do Rio de Janeiro/RJ, e Delegados da 	Polícia Federal Alexandre Ramagem e Alfredo Carrijo",16h15,16h50,Palácio do Planalto,2019-01-16
"Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência 	da República",16h50,17h10,Palácio do Planalto,2019-01-16
